firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1368115459	http://twitter.com/alyshea47/status/332526455865110528	Not Available	Not Available	u'(Cont.) is more to life than bringing others down. #GrowUp #Disgusted #Angry #Rant'	alyshea47	Alyssa Wills
1335333665	http://twitter.com/danniellemst/status/195029645370990592	Not Available	Not Available	u'Umm... Wtf... \n#disturbed #disgusted #angry #kiterunner'	danniellemst	Dannielle
1353972679	http://twitter.com/ryangoeke/status/273207336875728896	Not Available	Not Available	u'#thatfeelingyougetwhen Graham Spanier sits down behind you at the movies. #disgusted #angry #holdmeback #goingtojail'	ryangoeke	Ryan Goeke
1369276209	http://twitter.com/hpangburn/status/337394992114978816	Not Available	Not Available	u'#sosad\n#disappointed\n#disgusted\n#angry'	hpangburn	Zoe
1369342058	http://twitter.com/icemanmattix10/status/337671183006838784	Not Available	Not Available	u'The nerve of that pigeon saying tweet tweet tweet to me #disgusted #angry'	icemanmattix10	Hoopla !
1369253292	http://twitter.com/georginahousden/status/337298871531212800	Not Available	Not Available	u'There are some evil people in the world #disgusted #angry #woolwich #RIP'	georginahousden	Georgina Housden
1379479477	http://twitter.com/ohyoudontshay/status/380190599678550016	Not Available	Not Available	u"I've just lost all of the respect in the world for you.  #disgusted #angry \U0001f621"	ohyoudontshay	Shayna Marie
1302050846	http://twitter.com/lacy_o/status/55431383643979776	Not Available	Not Available	u'That was the most horrible story I have ever read. #disgusted #angry'	lacy_o	Lacy O'Lalde
1367645965	http://twitter.com/kianalamere/status/330557254413713408	Not Available	Not Available	u'LOVE coming home to that noise. #disgusted #angry'	kianalamere	Kiana Lamere
1357927251	http://twitter.com/lisahochstein/status/289794013249277953	Not Available	Not Available	u"\u201c@JessicaJones728: @lisahochstein are you watching rhobh???\u201dI'm actually in the gym and it came on , made me tweet that #angry #disgusted"	lisahochstein	Lisa Hochstein
1363234406	http://twitter.com/minx323/status/312053834107199488	Not Available	Not Available	u'Mourning the loss of innocence in children #heartbroken #disgusted #angry'	minx323	Yaya the Minx
1366060529	http://twitter.com/jennawatson33/status/323907452535975938	Not Available	Not Available	u'#disgusted #angry #confused #sad #worried'	jennawatson33	Jenna Watson
1365998444	http://twitter.com/sfoister01/status/323647049608351745	Not Available	Not Available	u'I want to move out........ Like now! #Disgusted #Angry #GonnaLoseIt'	sfoister01	Sam Foister :)
1379148278	http://twitter.com/loehantjies/status/378801452510380032	Not Available	Not Available	u'Fokken refs!!! #disgusted #angry #Boks_vs_NZ'	loehantjies	#Loo7
1360378589	http://twitter.com/rachelbearde/status/300075670791409664	Not Available	Not Available	u'Honestly at this point your decision is 100% selfish #disgusted #angry'	rachelbearde	Rachel Bearde
1349820955	http://twitter.com/davidshawblog/status/255793744681500672	Not Available	Not Available	u'I am still amazed at how bad @YodelOnline are! Anyone else had a bad experience with them? #Angry #Annoyed #Disgusted'	davidshawblog	David Shaw
1365691919	http://twitter.com/anima_h/status/322361391572975618	Not Available	Not Available	u'#Disgusted #Angry \U0001f623'	anima_h	Anima
1313542593	http://twitter.com/sammarrrr/status/103631264506052608	Not Available	Not Available	u'ugh im just done trying #disgusted #angry'	shamanfaaaa	Samantha
