firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1401247271	http://twitter.com/reese2daend/status/471491347606962176	Not Available	Not Available	u'i officially know what the worst smell ever is #disgusted'	reese2daend	Jerry Reese II
1401144737	http://twitter.com/_tylerjay/status/471061288467329024	Not Available	Not Available	u'Just bit into a strawberry from @tesco to find 4 insects inside. #disgusted'	_tylerjay	★Tylerjay★
1400817889	http://twitter.com/eckmannkatie/status/469690386844499968	Not Available	Not Available	u'seeing a bunch of drunk married guys makes me want to never get married #disgusted'	eckmannkatie	Katie Eckmann
1400811746	http://twitter.com/brandijo1296/status/469664620912078849	Not Available	Not Available	u'Can you please go some where else and do that.. #disgusted'	brandijo1296	Brandi Hollensteiner
1400837685	http://twitter.com/alexwalsh92/status/469773417131294720	Not Available	Not Available	u'UKIP done well in Bolton... This is why politics needs to be intrigated in to education, to stop naive and silly votes. #disgusted'	alexwalsh92	Alexandria Walsh
1401017542	http://twitter.com/nosiphoselana/status/470527791499591680	Not Available	Not Available	u'South African police are useless pieces of shits!!! #Disgusted'	nosiphoselana	IG: Nosiphosy
1401274431	http://twitter.com/sashie_x/status/471605262714146816	Not Available	Not Available	u"So I'm reading through my tweets and the grammatical errors are terrible. #disgusted"	sashie_x	sashie
1400887201	http://twitter.com/connie_meg/status/469981104301412352	Not Available	Not Available	u'You make me sick to my stomach.. #disgusted #imdone'	connie_meg	Megan Milner
1401192782	http://twitter.com/byrachelfs/status/471262802946969600	Not Available	Not Available	u'@USAirways really knows how to support the troops...by holding their spouses return flight hostage for a few extra hundred. #wtf #DISGUSTED'	byrachelfs	Rachel Sandler
1401091555	http://twitter.com/fadichahine/status/470838226484084736	Not Available	Not Available	u'The Official Kardashian page downgrades &amp; makes up rumours about their family for a extra sec of publicity #disgusted http://t.co/z3aGSrcJoE'	fadichahine	Fadi Chahine
1401181832	http://twitter.com/followsoto/status/471216874546802689	Not Available	Not Available	u'Yo @BLPlatinum, no joke I just found this piece of hair INSIDE my beer. #disgusted http://t.co/E17xmfyyUL'	followsoto	Justin Falusoto
1401301614	http://twitter.com/mooshujenne/status/471719277804785664	Not Available	Not Available	u'@VerizonFiOS Customer for 15 years. Service has not worked correctly for four weeks. Got the run around. Really #disgusted'	mooshujenne	Jenne Kopalek
1401310479	http://twitter.com/annagracehenney/status/471756458477256705	Not Available	Not Available	u'@TalkTalkCare  failed once again to show up for their engineer appointment. I have now been THREE MONTHS with no WIFI!! #disgusted'	annagracehenney	Anna Grace Henney
1401138205	http://twitter.com/beckysnook81/status/471033888509145089	Not Available	Not Available	u'I just overheard a jerk dad ask his son why the f#@$ he has to attached to his hip. WOW parent of the year #disgusted'	beckysnook81	Becky Snook
1400875306	http://twitter.com/hllywoodscandal/status/469931211671232512	Not Available	Not Available	u'Seriously though, are those the morals and values your organization was founded upon? Is that what you earned your letters for? #disgusted'	hllywoodscandal	H⭐️llywood
1400941745	http://twitter.com/davidalan_kelly/status/470209879387697152	Not Available	Not Available	u"@RachelLapp @ricky_martin This sick woman is the perfect example of who SHOULDN'T be a parent! #sick #disgusted http://t.co/wszCUbtdTt"	davidalan_kelly	DAVID KELLY
1400781099	http://twitter.com/amillern/status/469536077842489344	Not Available	Not Available	u"@Virgin_Victoria @virginmedia @richardbranson I've been on the phone to them twice and been told the same! #disappointed #disgusted"	amillern	Nancy Miller
1401037312	http://twitter.com/hillyvn/status/470610715058126848	Not Available	Not Available	u'@NandosUK please explain this adults portion size!! And the rude manager needs retraining. #Disgusted #Woodgreen http://t.co/IxoRQwBWdw'	hillyvn	✨Hilly✨
1401016172	http://twitter.com/ethanptaylor/status/470522045412159488	Not Available	Not Available	u"And what's Gove going to replace them with? Harry Potter? The Hunger Games? #disgusted"	ethanptaylor	Ethan Taylor
1400856790	http://twitter.com/tejanishant/status/469853551359844353	Not Available	Not Available	u'People should learn to respect trainers time during training sessions. For gods sake, pay attention than doodling or gossiping! #disgusted'	tejanishant	Teja Nishant
1401141543	http://twitter.com/maqsoooood/status/471047891029856256	Not Available	Not Available	u"it is taking me a ridiculous amount of time to read '1984', despite it being brilliant so far #disappointed #despicable #disgusted"	maqsoooood	Raeesah Maqsood
1400989656	http://twitter.com/r_braun21/status/470410831687999488	Not Available	Not Available	u"To the couple that left the condom in the men's washroom at dairy king, please kind somewhere else to do the deed. #disgusted"	r_braun21	Rhyann Braun
1400945920	http://twitter.com/markdavid_91/status/470227390019674112	Not Available	Not Available	u"Disgusted that @FryettAlan spelt Cristiano Ronaldos name as 'christiano' #Disgusted"	markdavid_91	Mark David
1400821602	http://twitter.com/banguwitapickle/status/469705961427316736	Not Available	Not Available	u'No for real tho. I had a nymho cousin who said she wanted to get down with me. I was floored. Didnt want to even look at her. #disgusted'	banguwitapickle	Jimrod
1400910678	http://twitter.com/rachnyee_/status/470079572134731776	Not Available	Not Available	u'Uughhh this niggah stick his dick in ANYBODY! \U0001f637\U0001f637 lawd im so glad we dnt even associate anymore \U0001f64c #disgusted #alwayswillbe lmao'	rachnyee_	Rachel✌
1400877773	http://twitter.com/hollywoodardo/status/469941558612332545	Not Available	Not Available	u"I'm working and watching a pregnant girl smoke cigarettes and guzzle budweisers. #WhiteTrashHillbilly #Disgusted"	hollywoodardo	Nicholas Francis
1400807883	http://twitter.com/valleylea/status/469648418416386051	Not Available	Not Available	u'@allinwithchris why are you giving #BenCarson airtime? He has #fox for that! #disgusted #disrespectedPBO #clickclick'	valleylea	valeria
1401244981	http://twitter.com/d_rufo2/status/471481741731840000	Not Available	Not Available	u'THAT IS JUST BAD COACHING!!!!!! #disgusted'	d_rufo2	Danny Rufo
1400773540	http://twitter.com/techamaki/status/469504373920256002	Not Available	Not Available	u'@CRB_Bitwise Damn 1000 followers? you sellout. #disgusted'	techamaki	Kazz Mib
1401040041	http://twitter.com/battlewagon666/status/470622159002664961	Not Available	Not Available	u"dear @cableone thanks for throttling my internet so bad that I can't stream from WatchESPN... POWERED BY CABLE ONE. #DISGUSTED"	battlewagon666	Chris Burk
1401206397	http://twitter.com/sophiasogood/status/471319910128553984	Not Available	Not Available	u'You can fool some of the people all of the time, all of the people some of the time, but not all of the people all of the time. #DISGUSTED'	sophiasogood	Paul of the Adriatic
1401153132	http://twitter.com/jesuscunts/status/471096496603926528	Not Available	Not Available	u'When there are people who argue that the UCSB shooting is partially the fault of the women who choose to say no #YesAllWomen #disgusted'	jesuscunts	Seara Lamarche
